ID SItio Rango_etario Rango_num Sexo Formatumba Forma_num Tratamiento_de_la_tumba Tratamiento_del_cuerpo Profundida_en_cm Diametro/Ancho_en_cm Orientacion Orientacion_num Posicion_del_cuerpo Posicion_num Articulado Total_fragmentos_ceramicos Total_ceramica Decorada_o_con_diseño Urna_funeraria Jarras Alcarraza Ollas Copas Cuenco Múcura Total_fauna Alteraciones_artificiales_o_señales_de_uso Calcinacion Cervidae Caviidae Canidae Felidae Ave Indeterminado Total_conchas Alteraciones_artificiales_o_señales_de_uso2 Euglandina Plekokelius_Fulminans P_Plekocheilus Bulimulidae Drymaeus_Nigrofasciatus P_Succinoides Caracol_Indeterminado Material_Vegetal_Calcinado Maiz Tusas Frijol Ramas Espigas Leguminosa Indeterminada Presencia_de_carbon Carbon_num Total_liticos Marcas_de_uso_o_decoraciones Lápida-lajas Ubicación Cuarzo Mano_de_moler Raspadores Lascas Perforador Desechos_de_talla Martillo Cantos_rodados Metate Nucleos Piedras_naturales Cuentas_de_collar Volantes_de_uso
Tumba_12 La_Muela Adulto 5 Masculino Sobreelsuelo 4 NA NA 0 0 Oriente 5 Decubito_lateral 2 Articulado 393 0 NO 0 0 0 0 0 0 0 17 SI SI 17 0 0 0 1 0 28 NO 0 2 8 10 4 4 0 47 35 3 2 3 3 1 0 SI 1 11 NO 0 0 0 0 2 3 0 3 0 0 0 0 3 0 0
Tumba_13 La_Muela Adulto 5 Femenino Circular 1 NA El_cuerpo_esta_cubierto_con_tierra_suelta 50 70 Norte 3 Sedente 1 Articulado 4 0 NO 0 0 0 0 0 0 0 2 SI NO 0 2 0 0 0 0 1 NO 0 0 0 0 0 0 1 2 0 0 0 0 0 0 2 SI 1 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_14 La_Muela Adulto 5 Femenino Circular 1 NA El_cuerpo_esta_cubierto_con_tierra_suelta 55 65 Norte 3 Sedente 1 Articulado 46 1 NO 0 0 0 1 0 0 0 6 SI NO 6 0 0 0 0 0 2 NO 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 5 NO 0 0 0 0 1 0 0 0 0 0 1 2 10 0 1
Tumba_15 La_Muela Niño 3 NA Ovalada 2 Alisamiento_en_las_paredes_Muela_humana NA 105 80 Oriente 5 Sedente 1 Articulado 22 1 NO 0 0 0 0 0 1 0 18 SI SI 17 1 0 0 0 0 6 NO 0 0 2 1 2 1 0 26 19 4 1 0 1 0 1 SI 1 10 NO 2 Tapando_la_tumba 0 0 1 3 0 3 1 0 0 0 0 1 0
Tumba_16 La_Muela NA NA NA Ovalada 2 NA Los_huesos_aparecen_quemados 10 40 NA NA Sedente 1 Desarticulado 14 0 NO 0 0 0 0 0 0 0 13 NO NO 10 2 1 0 0 0 4 NO 0 0 1 3 0 0 0 7 3 2 0 0 1 1 0 SI 1 9 NO 0 0 0 0 0 4 0 4 0 0 0 0 1 0 0
Tumba_17 La_Muela Adulto_joven 4 Masculino Circular 1 Preparacion_en_el_fondo,_ceniza_en_el_fondo_de_la_tumba NA 37 75 Norte 3 Sedente 1 Articulado 52 0 NO 0 0 0 0 0 0 0 3 NO NO 2 1 0 0 0 0 0 NO 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 SI 1 3 NO 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0
Tumba_18 La_Muela Adulto 5 NA Ovalada 2 _Alisamiento_de_paredes_Tumba_presenta_pigmento_rojo El_cuerpo_esta_cubierto_de_ocre 25 50 Nororiente 2 Sedente 1 Articulado 3 0 NO 0 0 0 0 0 0 0 23 SI SI 18 5 0 0 0 0 4 NO 0 0 1 1 0 2 0 2 2 0 0 0 0 0 0 SI 1 14 NO 0 0 1 1 0 3 1 3 2 0 0 0 3 0 0
Tumba_19 La_Muela Adulto 5 NA Sobreelsuelo 4 NA NA 25 50 NA NA Decubito_lateral 2 Articulado 6 0 NO 0 0 0 0 0 0 0 11 SI SI 10 8 0 0 0 0 2 NO 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 SI 1 6 NO 0 0 0 0 0 3 0 3 0 0 0 0 0 33 0
Tumba_20 La_Muela Adulto 5 Femenino Circular 1 Alisamiento_de_paredes NA 30 80 Nororiente 2 Sedente 1 Articulado 270 0 NO 0 0 0 0 0 0 0 10 SI SI 10 0 0 0 0 0 4 NO 0 1 3 0 0 0 0 3 2 1 0 0 0 0 0 SI 1 5 NO 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0
Tumba_21 La_Muela Niño 3 NA Circular 1 Alisamiento_de_paredes_ Ocre_en_varias_partes_y_carbon_sobre_el_cuerpo 20 30 NA NA Sedente 1 Articulado 13 0 NO 0 0 0 0 0 0 0 13 SI NO 13 0 0 0 0 0 4 NO 0 0 2 2 0 0 0 2 1 1 0 0 0 0 0 SI 1 5 NO 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
Tumba_22 La_Muela Adulto 5 NA Sobreelsuelo 4 NA NA 30 80 NA NA Decubito_lateral 2 NA 2 0 NO 0 0 0 0 0 0 0 3 NO NO 3 0 0 0 0 0 1 NO 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 2 NO 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
Tumba_23 La_Muela Adulto 5 Masculino Sobreelsuelo 4 NA NA 30 80 NA NA NA NA NA 9 0 NO 0 0 0 0 0 0 0 6 NO NO 5 1 0 0 0 0 1 NO 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 SI 1 9 SI 0 0 0 0 0 4 0 3 0 0 0 0 0 0 2
Tumba_24 La_Muela NA NA NA Circular 1 Alisamiento_de_paredes NA 30 80 Oriente 5 Decubito_lateral 2 Articulado 1 0 NO 0 0 0 0 0 0 0 14 NO NO 13 1 0 0 0 0 0 NO 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 SI 1 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_25 La_Muela Adulto 5 NA Ovalada 2 _Presencia_de_una_gran_material_que_no_se_asocia_a_entierros_Al_norte_presenta_una_acumulacion_de_piedras Hace_falta_la_cabeza 10 60 Occidente 4 Sedente 1 Articulado 8 0 NO 0 0 0 0 0 0 0 19 SI NO 16 6 0 0 0 0 0 NO 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 SI 1 2 NO 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
Tumba_26 La_Muela Niño 3 NA NA NA NA NA 10 45 Noroccidente 1 Decubito_lateral 2 Articulado 44 0 NO 0 0 0 0 0 0 0 10 SI NO 9 0 0 1 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 6 NO 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0
Tumba_27 La_Muela Adulto 5 NA Sobreelsuelo 4 Las_garras_aparecen_dentro_de_uno_de_los_caracoles NA 0 0 NA NA NA NA NA 4 1 NO 0 0 0 0 0 0 1 5 NO NO 0 0 0 5 0 0 2 SI 2 0 0 0 0 0 0 3 0 0 0 0 0 0 3 SI 1 2 NO 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
Tumba_28 Bosque_Alto Adulto 5 NA Ovalada 2 Una_roca_ahumada_ Tierra_amasada_sobre_el_cuerpo_Rastro_de_material_quemado 45 90 Norte 3 Decubito_dorsal 3 Articulado 0 1 SI 0 1 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 3 NO 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
Tumba_29 Bosque_Alto Adulto 5 NA Ovalada 2 NA Las_piedras_estan_colacadas_sobre_el_cuerpo 45 100 Oriente 5 Decubito_lateral 2 Articulado 0 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 6 NO 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0
Tumba_30 Bosque_Alto Niño 3 NA Circular 1 NA Restos_de_ahumado 55 65 Norte 3 Sedente 1 Articulado 8 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_31 Bosque_Alto Adulto 5 NA Circular 1 NA NA 105 120 Norte 3 Decubito_lateral 2 Articulado 0 1 SI 0 0 0 1 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 5 NO 4 Arriba_y_ll_lado_del_craneo 0 0 0 0 0 0 0 0 0 0 1 0 0
Tumba_32 Bosque_Alto Adulto 5 NA Circular 1 Fragmentos_ceramicos_en_la_pared_de_la_tumba_ NA 50 90 NA NA Decubito_dorsal 3 Articulado 9 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_33 Bosque_Alto Niño 3 NA Rectangular 3 NA NA 55 70 NA NA NA NA Desarticulado 0 1 NO 0 1 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 3 NO 0 0 0 0 0 0 0 0 0 0 1 0 2 3 0
Tumba_34 Bosque_Alto Adulto 5 NA Circular 1 NA NA 110 65 Sur 6 Sedente 1 Articulado 0 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 1 NO 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Tumba_35 Bosque_Alto Niño 3 NA Circular 1 NA NA 75 31 NA NA NA NA NA 5 0 NO 0 0 0 0 0 0 0 4 NO NO 0 0 0 0 0 4 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
Tumba_36 Bosque_Alto Adulto 5 NA Ovalada 2 NA NA 55 80 Occidente 4 Decubito_lateral 2 Articulado 1 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_37 Bosque_Alto Adulto 5 NA Circular 1 NA NA 0 0 Suroriente 8 Sedente 1 Articulado 5 1 NO 0 0 0 0 1 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_38 Bosque_Alto Niño 3 NA Rectangular 3 Paredes_muy_verticales NA 100 110 Oriente 5 Decubito_lateral 2 Articulado 0 4 NO 0 1 0 0 1 2 0 3 SI NO 0 0 0 0 0 3 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 3 NO 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0
Tumba_39 Bosque_Alto Adulto 5 NA Rectangular 3 NA NA 0 0 Occidente 4 Decubito_dorsal 3 Articulado 0 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0
Tumba_40 Bosque_Alto Adulto 5 NA Ovalada 2 Piedras_colados_al_lado_del_pecho NA 45 80 NA NA NA NA NA 1 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 3 NO 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
Tumba_41 Bosque_Alto Adulto 5 NA Rectangular 3 Tierra_negra_Posiblemente_ahumado Jarra_colada_al_lado_del_pecho 100 70 Suroriente 8 Decubito_lateral 2 Articulado 0 1 NO 0 1 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_42 Bosque_Alto Neonato 1 NA Circular 1 NA 0 15 30 NA NA NA NA NA 0 1 NO 1 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_43 Bosque_Alto Adulto 5 NA Ovalada 2 NA Restos_de_ahumado_sobre_las_vertebras 50 105 Sur 6 Decubito_dorsal 3 Articulado 0 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 1 NO 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Tumba_44 Bosque_Alto Adulto 5 NA Rectangular 3 NA Presencia_de_ceniza 80 95 NA NA Decubito_dorsal 3 Articulado 0 1 NO 0 0 0 1 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 1 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
Tumba_45 Bosque_Alto Adulto 5 NA Ovalada 2 NA NA 45 80 Sur 6 Decubito_lateral 2 Articulado 2 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 3 NO 1 Sobre_el_cuerpo_en_la_parte_inferior_del_cuerpo 0 1 0 1 0 0 0 0 0 0 0 0 0
Tumba_46 Bosque_Alto Adulto 5 NA Circular 1 NA NA 65 70 NA NA Sedente 1 Articulado 1 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_47 Bosque_Alto Neonato 1 NA NA NA NA NA 0 0 NA NA NA NA NA 0 1 SI 1 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_48 Bosque_Alto Adulto 5 NA Circular 1 La_piedra_esta_recubierta_con_un_material_brillante NA 50 60 NA NA Sedente 1 Articulado 0 0 NO 0 0 0 0 0 0 0 1 SI NO 0 0 0 0 0 1 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 1 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_49 Bosque_Alto Adulto 5 NA Circular 1 NA NA 70 60 Occidente 4 Sedente 1 Articulado 0 0 NO 0 0 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 4 SI 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0
