ID X Y Area Profundidad Volumen Construcciones Forma Orienta Superposicion Sexo Edad_grup Edad_err Edad Grupo_super Grupo10 Grupo20 Grupo30 Grupo40 Grupo50 Ollas Jarras Copas Mocasines ceramicas Venado Cuy Cricetidae Boa Laja Monton_de_piedras Piedras_adentro Marcas Volante Propulsor Gallinula Saino Conchas Felidae humanos
139 95218.59579 86927.28748 0.599 0.2 0.1198 Asán Oval O No F Adulto_m NA NA 0 NA NA NA NA 9 0 0 0 0 0 0 0 0 22 1 1 1 Asan 0 0 0 0 0 0 0
144 95215.32181 86927.34612 0.772 0.5 0.386 Ninguna Oval SO No M Adulto NA NA 0 NA NA NA NA 11 0 0 0 0 0 0 0 0 0 1 0 0 Laja 0 0 0 0 0 0 0
145 95215.74742 86929.12068 1.474 0.3 0.4422 Escalón Oval SO No F Adulto NA NA 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
978 95187.16618 86953.17527 0.85 0.65 0.5525 Ninguna Oval NE No I Adulto NA NA 0 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
981 95189.40629 86952.61956 0.354 0.45 0.1593 Ninguna Circular I Si I Adulto NA NA 2 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 1
984 95187.56224 86949.22747 0.353 0.3 0.1059 Ninguna Oval SO No I Infantil NA NA 0 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
987 95206.73109 86935.40128 0.821 0.65 0.53365 Nicho Circular SO No I Adulto NA NA 0 NA NA NA NA 5 0 0 0 0 0 0 0 0 0 0 1 1 Monton_de_rocas 0 0 0 0 0 0 0
988 95206.37397 86934.16645 0.703 0.65 0.45695 Nicho Circular I No I Indeterminado NA NA 0 NA NA NA NA 5 0 0 0 0 0 0 0 0 0 0 0 0 Huellas_de_poste 0 0 0 0 0 0 0
989 95209.48079 86933.93456 1.105 0.6 0.663 Ninguna Oval S No F Adulto NA NA 0 NA NA NA NA 6 0 1 3 0 4 3 0 0 0 0 1 1 Monton_de_rocas 0 0 0 0 0 0 5
990 95210.46592 86929.53322 0.164 0.3 0.0492 Ninguna Oval SO No I Adulto NA NA 0 NA NA NA NA 7 0 0 0 0 0 5 2 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
991 95211.02197 86931.03847 0.83 0.3 0.249 Ninguna Oval SE No I Infantil NA NA 0 NA NA NA NA 6 0 0 0 0 0 2 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
993 95214.00146 86927.09835 0.298 0.2 0.0596 Ninguna Oval SO No I Infantil NA NA 0 NA NA NA NA 11 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
995 95221.89085 86925.73292 1.844 0.6 1.1064 Escalón Oval SO No I Adulto NA NA 0 NA NA NA NA 10 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
997 95220.13272 86924.0539 1.184 0.2 0.2368 Ninguna Circular I No I Infantil NA NA 0 NA NA NA NA 10 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
998 95214.68654 86931.2485 0.891 0.5 0.4455 Nicho Circular NA No I Adulto NA NA 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 1 0 0 Laja 0 0 0 0 0 0 0
999 95198.60369 86941.5757 1.714 0.7 1.1998 Ninguna Oval S Si I Indeterminado NA NA 4 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
